student_id,first_name,last_name,age,email,country,grade_math,grade_science,grade_english,total_score,full_name,Performance
42,Andria,Bollum,25,abollum15@deliciousdays.com,SOUTH KOREA,62,41,74,59,Andria Bollum,Average
43,Rodolphe,Bordes,24,rbordes16@who.int,KENYA,87,92,50,76,Rodolphe Bordes,Good
44,Der,Blackborough,19,dblackborough17@yelp.com,PARAGUAY,7,70,79,52,Der Blackborough,Average
45,Tess,Laidel,25,tlaidel18@slate.com,CURACAO,19,47,90,52,Tess Laidel,Average
46,Skylar,Lewry,20,slewry19@trellian.com,PORTUGAL,53,57,21,43,Skylar Lewry,Average
47,Dorice,Astle,25,dastle1a@weebly.com,MEXICO,16,67,12,31,Dorice Astle,Poor
48,Dorolice,Donohue,24,ddonohue1b@istockphoto.com,ARGENTINA,69,10,60,46,Dorolice Donohue,Average
49,Starlin,Klimp,18,sklimp1c@fotki.com,BRAZIL,89,5,99,64,Starlin Klimp,Good
50,Prentiss,Blythe,25,pblythe1d@wikia.com,ARGENTINA,90,16,44,50,Prentiss Blythe,Average
51,Zacharias,Colquite,20,zcolquite1e@smh.com.au,CHINA,77,78,13,56,Zacharias Colquite,Average
52,Carmencita,Whithalgh,23,cwhithalgh1f@skype.com,PALESTINIAN TERRITORY,54,28,41,41,Carmencita Whithalgh,Average
53,Ernaline,Le Blond,19,eleblond1g@bloglovin.com,JAPAN,59,70,82,70,Ernaline Le Blond,Good
54,Tanya,Braisby,24,tbraisby1h@gnu.org,RUSSIA,86,10,35,43,Tanya Braisby,Average
55,Leisha,Doward,24,ldoward1i@upenn.edu,SYRIA,71,22,59,50,Leisha Doward,Average
56,Jory,Harsnipe,22,jharsnipe1j@fema.gov,CHINA,45,47,40,44,Jory Harsnipe,Average
57,Shandee,Scaice,20,sscaice1k@sun.com,CZECH REPUBLIC,61,31,52,48,Shandee Scaice,Average
58,Noel,Crackett,19,ncrackett1l@nyu.edu,CROATIA,76,43,36,51,Noel Crackett,Average
59,Corine,Cattlemull,24,ccattlemull1m@earthlink.net,PHILIPPINES,98,43,93,78,Corine Cattlemull,Good
60,Elvera,Kilcullen,19,ekilcullen1n@csmonitor.com,GERMANY,21,65,91,59,Elvera Kilcullen,Average
61,Elisha,Cudby,19,ecudby1o@clickbank.net,FRANCE,82,34,18,44,Elisha Cudby,Average
62,Fawnia,Pleuman,25,fpleuman1p@fotki.com,SOUTH AFRICA,61,26,33,40,Fawnia Pleuman,Average
63,Ulberto,Element,20,uelement1q@mail.ru,KENYA,82,35,16,44,Ulberto Element,Average
64,Tildi,Scobbie,21,tscobbie1r@wix.com,INDONESIA,39,94,83,72,Tildi Scobbie,Good
65,Claudina,Stallard,24,cstallard1s@drupal.org,TAIWAN,6,44,11,20,Claudina Stallard,Poor
66,Ethelyn,Farens,24,efarens1t@wordpress.org,CZECH REPUBLIC,62,90,39,63,Ethelyn Farens,Good
67,Thalia,Abercromby,24,tabercromby1u@example.com,PHILIPPINES,71,78,16,55,Thalia Abercromby,Average
68,Arabela,Risely,23,arisely1v@marketwatch.com,CHINA,91,64,63,72,Arabela Risely,Good
69,Matteo,Lattey,21,mlattey1w@spiegel.de,AFGHANISTAN,100,27,54,60,Matteo Lattey,Good
70,Carmella,Ballsdon,18,cballsdon1x@google.ru,RUSSIA,34,57,63,51,Carmella Ballsdon,Average
71,Killie,Lorenc,24,klorenc1y@123-reg.co.uk,SYRIA,21,16,63,33,Killie Lorenc,Poor
72,Cilka,Telfer,22,ctelfer1z@google.com,JAPAN,31,65,26,40,Cilka Telfer,Average
73,Delbert,Vala,25,dvala20@eepurl.com,INDONESIA,68,33,60,53,Delbert Vala,Average
74,Concordia,Boyton,23,cboyton21@is.gd,INDONESIA,9,91,29,43,Concordia Boyton,Average
75,Enid,Pretley,23,epretley22@pagesperso-orange.fr,PHILIPPINES,79,2,82,54,Enid Pretley,Average
76,Davina,Waywell,19,dwaywell23@tripod.com,LITHUANIA,10,61,86,52,Davina Waywell,Average
77,Gunter,Ruste,22,gruste24@prlog.org,RUSSIA,83,81,20,61,Gunter Ruste,Good
78,Ric,De Carlo,20,rdecarlo25@amazon.com,BRAZIL,34,20,71,41,Ric De Carlo,Average
79,Jenelle,Treherne,18,jtreherne26@wordpress.org,PORTUGAL,31,48,5,28,Jenelle Treherne,Poor
80,Welch,Mucklow,19,wmucklow27@shop-pro.jp,PORTUGAL,26,15,51,30,Welch Mucklow,Poor
81,Anatol,Wheatman,25,awheatman28@spotify.com,RUSSIA,81,72,51,68,Anatol Wheatman,Good
82,Ritchie,O'Carmody,25,rocarmody29@pinterest.com,AZERBAIJAN,13,27,62,34,Ritchie O'Carmody,Poor
83,Davide,Pettyfer,19,dpettyfer2a@vinaora.com,CHINA,44,78,55,59,Davide Pettyfer,Average
84,Sada,Anchor,24,sanchor2b@gmpg.org,CHINA,79,18,29,42,Sada Anchor,Average
85,Maure,Maybey,19,mmaybey2c@si.edu,RUSSIA,69,96,50,71,Maure Maybey,Good
86,Blinnie,O'Murtagh,20,bomurtagh2d@si.edu,PORTUGAL,62,99,6,55,Blinnie O'Murtagh,Average
87,Evie,Heenan,22,eheenan2e@nsw.gov.au,POLAND,95,46,73,71,Evie Heenan,Good
88,Bevin,Capnerhurst,19,bcapnerhurst2f@yale.edu,UNITED STATES,37,47,76,53,Bevin Capnerhurst,Average
89,Esme,Allsep,21,eallsep2g@nyu.edu,CZECH REPUBLIC,74,90,5,56,Esme Allsep,Average
90,Ugo,Renbold,20,urenbold2h@nbcnews.com,AZERBAIJAN,22,25,68,38,Ugo Renbold,Poor
91,Smith,Sanpere,25,ssanpere2i@edublogs.org,PHILIPPINES,89,88,12,63,Smith Sanpere,Good
92,Clareta,Furze,19,cfurze2j@microsoft.com,NIGERIA,37,18,43,32,Clareta Furze,Poor
93,Teador,Chsteney,20,tchsteney2k@mayoclinic.com,PANAMA,3,51,4,19,Teador Chsteney,Poor
94,Harriette,McNicol,20,hmcnicol2l@histats.com,SRI LANKA,91,88,41,73,Harriette McNicol,Good
95,Dosi,Ainley,20,dainley2m@gnu.org,INDONESIA,13,10,57,26,Dosi Ainley,Poor
96,Krystle,Macieja,20,kmacieja2n@addthis.com,CHINA,38,81,84,67,Krystle Macieja,Good
97,Laurie,Usherwood,21,lusherwood2o@ebay.com,RUSSIA,94,49,31,58,Laurie Usherwood,Average
98,Nettie,Vicioso,19,nvicioso2p@theguardian.com,UKRAINE,36,81,53,56,Nettie Vicioso,Average
99,Phil,Vanichkov,24,pvanichkov2q@dropbox.com,INDONESIA,67,55,13,45,Phil Vanichkov,Average
100,Lorrayne,Vahl,22,lvahl2r@nymag.com,REPUBLIC OF THE CONGO,84,28,57,56,Lorrayne Vahl,Average
101,Allison,Saldler,24,asaldler2s@ucla.edu,PORTUGAL,44,90,68,67,Allison Saldler,Good
102,Eolande,Skune,21,eskune2t@cbslocal.com,GREECE,60,34,71,55,Eolande Skune,Average
103,Mozelle,GiacobbiniJacob,21,mgiacobbinijacob2u@phoca.cz,POLAND,39,18,3,20,Mozelle GiacobbiniJacob,Poor
104,Perkin,Corris,25,pcorris2v@archive.org,THAILAND,22,68,70,53,Perkin Corris,Average
105,Willabella,Mathews,22,wmathews2w@blogspot.com,PHILIPPINES,12,31,4,15,Willabella Mathews,Poor
106,Esmaria,Anning,19,eanning2x@hatena.ne.jp,PORTUGAL,45,85,47,59,Esmaria Anning,Average
107,Irvin,Dibsdale,23,idibsdale2y@netvibes.com,PHILIPPINES,24,38,31,31,Irvin Dibsdale,Poor
108,Boniface,Storror,19,bstorror2z@xing.com,BRAZIL,37,40,50,42,Boniface Storror,Average
109,Veda,Street,25,vstreet30@un.org,CHINA,92,45,61,66,Veda Street,Good
110,Harley,Rigts,24,hrigts31@soup.io,POLAND,55,43,72,56,Harley Rigts,Average
111,Bobbie,Perryn,23,bperryn32@tiny.cc,INDONESIA,47,33,7,29,Bobbie Perryn,Poor
112,Estel,McDuffie,22,emcduffie33@kickstarter.com,PORTUGAL,16,26,42,28,Estel McDuffie,Poor
113,Candis,Eisold,22,ceisold34@rediff.com,RUSSIA,48,79,11,46,Candis Eisold,Average
114,Donn,Armfirld,20,darmfirld35@linkedin.com,SWEDEN,72,76,41,63,Donn Armfirld,Good
115,Donny,Jansens,19,djansens36@who.int,PHILIPPINES,59,70,80,69,Donny Jansens,Good
116,Midge,Okenden,24,mokenden37@slashdot.org,KAZAKHSTAN,4,73,19,32,Midge Okenden,Poor
117,Lydia,Mariotte,21,lmariotte38@amazon.de,INDONESIA,57,74,92,74,Lydia Mariotte,Good
118,Garald,Baggiani,22,gbaggiani39@ustream.tv,IRAN,20,16,1,12,Garald Baggiani,Poor
119,Iseabal,Dumphreys,24,idumphreys3a@sbwire.com,CHINA,73,42,28,47,Iseabal Dumphreys,Average
120,Binni,Jannasch,21,bjannasch3b@google.com.hk,SWEDEN,26,40,19,28,Binni Jannasch,Poor
121,Archibold,Scowcraft,19,ascowcraft3c@yolasite.com,PHILIPPINES,17,95,71,61,Archibold Scowcraft,Good
122,Catharina,Ravel,20,cravel3d@soup.io,UKRAINE,79,67,63,69,Catharina Ravel,Good
123,Averill,Rainton,18,arainton3e@go.com,BRAZIL,65,90,72,75,Averill Rainton,Good
124,Dawn,Maddyson,21,dmaddyson3f@harvard.edu,MALI,35,70,0,35,Dawn Maddyson,Poor
125,Suzie,Hullyer,20,shullyer3g@g.co,CZECH REPUBLIC,22,4,60,28,Suzie Hullyer,Poor
126,Rey,Gammon,20,rgammon3h@discovery.com,RUSSIA,94,2,78,58,Rey Gammon,Average
127,Kristian,Leinweber,20,kleinweber3i@ifeng.com,POLAND,35,69,12,38,Kristian Leinweber,Poor
128,Sharity,Neachell,25,sneachell3j@nps.gov,VIETNAM,16,31,25,24,Sharity Neachell,Poor
129,Lexis,Pittson,19,lpittson3k@deviantart.com,PERU,9,7,48,21,Lexis Pittson,Poor
130,Friedrick,Pember,24,fpember3l@uol.com.br,LATVIA,55,52,87,64,Friedrick Pember,Good
131,Jourdain,Whitmell,18,jwhitmell3m@java.com,PORTUGAL,63,14,99,58,Jourdain Whitmell,Average
132,Drusie,Baughn,21,dbaughn3n@diigo.com,JAPAN,8,60,42,36,Drusie Baughn,Poor
133,Dukey,Greenrod,20,dgreenrod3o@printfriendly.com,CHINA,64,28,97,63,Dukey Greenrod,Good
134,Risa,Stent,23,rstent3p@fc2.com,FRANCE,42,92,11,48,Risa Stent,Average
135,Kessia,Larimer,25,klarimer3q@histats.com,PORTUGAL,86,44,20,50,Kessia Larimer,Average
136,Janis,Hindrich,18,jhindrich3r@domainmarket.com,FINLAND,37,86,53,58,Janis Hindrich,Average
137,Cherish,Speeding,21,cspeeding3s@bloomberg.com,BRAZIL,61,3,35,33,Cherish Speeding,Poor
138,Bertie,Fishe,25,bfishe3t@devhub.com,COLOMBIA,67,94,70,77,Bertie Fishe,Good
139,Lorenza,Herculson,19,lherculson3u@shareasale.com,SOUTH AFRICA,60,67,79,68,Lorenza Herculson,Good
140,Garland,Dearell,25,gdearell3v@live.com,PORTUGAL,17,78,69,54,Garland Dearell,Average
141,Stavro,Waltering,24,swaltering3w@so-net.ne.jp,UNITED STATES,15,78,70,54,Stavro Waltering,Average
142,Stephie,Simm,19,ssimm3x@51.la,SWEDEN,17,49,27,31,Stephie Simm,Poor
143,Silva,O'Kenny,25,sokenny3y@wp.com,INDONESIA,3,73,20,32,Silva O'Kenny,Poor
144,Sherlocke,Fairfull,20,sfairfull3z@clickbank.net,CANADA,18,35,100,51,Sherlocke Fairfull,Average
145,Norene,Gosnall,25,ngosnall40@trellian.com,LUXEMBOURG,7,30,94,43,Norene Gosnall,Average
146,Bendite,Dimnage,20,bdimnage41@imdb.com,RUSSIA,65,28,36,43,Bendite Dimnage,Average
147,Mike,Arson,20,marson42@nhs.uk,BRAZIL,40,2,91,44,Mike Arson,Average
148,Alida,Ducker,19,aducker43@nydailynews.com,RUSSIA,49,41,36,42,Alida Ducker,Average
149,Claudie,Rushbrooke,24,crushbrooke44@msu.edu,CHINA,50,5,99,51,Claudie Rushbrooke,Average
150,Arabel,Meekings,23,ameekings45@soup.io,UKRAINE,19,84,55,52,Arabel Meekings,Average
151,Michelle,Tallant,20,mtallant46@cpanel.net,PHILIPPINES,99,96,77,90,Michelle Tallant,Excellent
152,Shep,Grealy,21,sgrealy47@deliciousdays.com,CHINA,94,26,68,62,Shep Grealy,Good
153,Harriott,MacGillivrie,24,hmacgillivrie48@hao123.com,RUSSIA,66,1,80,49,Harriott MacGillivrie,Average
154,Winonah,Heal,20,wheal49@chron.com,MEXICO,61,14,98,57,Winonah Heal,Average
155,Gray,Woolveridge,25,gwoolveridge4a@newsvine.com,PHILIPPINES,78,94,34,68,Gray Woolveridge,Good
156,Jobie,de Guerre,22,jdeguerre4b@github.com,CHINA,26,1,9,12,Jobie de Guerre,Poor
157,Augustine,Roberds,22,aroberds4c@archive.org,POLAND,20,95,77,64,Augustine Roberds,Good
158,Daile,Stork,21,dstork4d@goo.gl,PERU,94,32,85,70,Daile Stork,Good
159,Guillermo,Laurance,21,glaurance4e@ovh.net,ALBANIA,13,5,48,22,Guillermo Laurance,Poor
160,Ceciley,Egle,19,cegle4f@slate.com,PERU,5,88,47,46,Ceciley Egle,Average
161,Anselm,Pakeman,18,apakeman4g@mail.ru,CHINA,6,40,56,34,Anselm Pakeman,Poor
162,Kennett,Shovell,23,kshovell4h@phpbb.com,INDONESIA,31,54,83,56,Kennett Shovell,Average
163,Kermie,Mabon,24,kmabon4i@unblog.fr,CHINA,50,43,93,62,Kermie Mabon,Good
164,Sebastien,Gaylord,23,sgaylord4j@squarespace.com,REUNION,78,41,10,43,Sebastien Gaylord,Average
165,Laird,Lumby,25,llumby4k@sfgate.com,GUATEMALA,91,33,83,69,Laird Lumby,Good
166,Giustina,Tagg,23,gtagg4l@sina.com.cn,PORTUGAL,34,13,38,28,Giustina Tagg,Poor
167,Horatius,Oscroft,25,hoscroft4m@ycombinator.com,CHINA,88,89,14,63,Horatius Oscroft,Good
168,Belvia,Baraja,25,bbaraja4n@unblog.fr,INDONESIA,54,56,0,36,Belvia Baraja,Poor
169,Poul,Farraway,21,pfarraway4o@sciencedaily.com,CZECH REPUBLIC,83,41,76,66,Poul Farraway,Good
170,Montgomery,Whisby,25,mwhisby4p@ifeng.com,BRAZIL,73,41,65,59,Montgomery Whisby,Average
171,Woody,Croker,24,wcroker4q@rakuten.co.jp,ARGENTINA,19,2,90,37,Woody Croker,Poor
172,Cassie,Dawber,23,cdawber4r@timesonline.co.uk,POLAND,8,43,47,32,Cassie Dawber,Poor
173,Claresta,Casterton,24,ccasterton4s@sciencedirect.com,PANAMA,30,48,40,39,Claresta Casterton,Poor
174,Velvet,Barlass,19,vbarlass4t@marriott.com,CHINA,24,25,20,23,Velvet Barlass,Poor
175,Moyra,Foulkes,24,mfoulkes4u@wunderground.com,IRAQ,55,45,14,38,Moyra Foulkes,Poor
176,Roxi,Milham,23,rmilham4v@ox.ac.uk,PORTUGAL,68,28,20,38,Roxi Milham,Poor
177,Nady,Oats,18,noats4w@wired.com,POLAND,15,30,81,42,Nady Oats,Average
178,Carline,Timbrell,25,ctimbrell4x@parallels.com,INDONESIA,77,69,96,80,Carline Timbrell,Excellent
179,Burke,Aire,21,baire4y@businessweek.com,BRAZIL,31,31,14,25,Burke Aire,Poor
180,Fanchon,Leonarde,24,fleonarde4z@123-reg.co.uk,CHINA,56,75,24,51,Fanchon Leonarde,Average
181,Spense,Offer,25,soffer50@army.mil,INDONESIA,89,35,33,52,Spense Offer,Average
182,Vaclav,Danat,19,vdanat51@senate.gov,SRI LANKA,44,64,79,62,Vaclav Danat,Good
183,Terence,Rooson,20,trooson52@businessinsider.com,VIETNAM,86,91,99,92,Terence Rooson,Excellent
184,Gayel,Bilney,21,gbilney53@foxnews.com,UNITED STATES,6,35,16,19,Gayel Bilney,Poor
185,Amandie,Pittson,19,apittson54@zdnet.com,PERU,41,87,14,47,Amandie Pittson,Average
186,Sher,Copestake,20,scopestake55@live.com,NIGERIA,30,22,7,19,Sher Copestake,Poor
187,Loreen,Flux,20,lflux56@marketwatch.com,CHINA,82,75,72,76,Loreen Flux,Good
188,Harwilll,MattiCCI,19,hmatticci57@parallels.com,JAPAN,98,87,26,70,Harwilll MattiCCI,Good
189,Berthe,Rasell,22,brasell58@tinyurl.com,CHINA,65,44,66,58,Berthe Rasell,Average
190,Lauritz,Proby,21,lproby59@google.ru,TOGO,5,51,24,26,Lauritz Proby,Poor
191,Isidro,Sprigg,19,isprigg5a@tripod.com,FRANCE,39,51,41,43,Isidro Sprigg,Average
192,Normie,Petegree,21,npetegree5b@engadget.com,BRAZIL,82,37,14,44,Normie Petegree,Average
193,Poppy,Cornell,23,pcornell5c@foxnews.com,ISRAEL,23,54,75,50,Poppy Cornell,Average
194,Mendel,Stolz,24,mstolz5d@smh.com.au,SOUTH AFRICA,37,39,36,37,Mendel Stolz,Poor
195,Abbe,Craig,21,acraig5e@goo.gl,CROATIA,27,52,96,58,Abbe Craig,Average
196,Foster,Dunrige,18,fdunrige5f@telegraph.co.uk,BELARUS,35,28,21,28,Foster Dunrige,Poor
197,Fredericka,Quarles,19,fquarles5g@dmoz.org,POLAND,2,88,70,53,Fredericka Quarles,Average
198,Tanya,Guyer,18,tguyer5h@oakley.com,POLAND,45,24,45,38,Tanya Guyer,Poor
199,Amata,Funnell,21,afunnell5i@posterous.com,INDONESIA,82,2,80,54,Amata Funnell,Average
200,Hillery,Nowlan,23,hnowlan5j@altervista.org,ARGENTINA,22,83,60,55,Hillery Nowlan,Average
201,Dannel,Sallery,18,dsallery5k@wordpress.org,INDONESIA,17,2,21,13,Dannel Sallery,Poor
202,Tarrah,Jerzycowski,23,tjerzycowski5l@nydailynews.com,CHAD,66,26,61,51,Tarrah Jerzycowski,Average
203,Quinn,Mellon,25,qmellon5m@issuu.com,CHINA,56,4,8,22,Quinn Mellon,Poor
204,Conny,Ducker,19,cducker5n@state.tx.us,IRELAND,95,21,29,48,Conny Ducker,Average
205,Yovonnda,Gillebride,18,ygillebride5o@microsoft.com,CHINA,62,51,97,70,Yovonnda Gillebride,Good
206,Ina,Liles,23,ililes5p@1und1.de,SWAZILAND,17,21,75,37,Ina Liles,Poor
207,Brandon,Arden,25,barden5q@berkeley.edu,IRAN,24,94,96,71,Brandon Arden,Good
208,Guthry,Twinterman,25,gtwinterman5r@gravatar.com,NIGER,74,6,44,41,Guthry Twinterman,Average
209,Alaric,Wasling,25,awasling5s@diigo.com,PORTUGAL,34,31,17,27,Alaric Wasling,Poor
210,Gerardo,Laugherane,23,glaugherane5t@moonfruit.com,BRAZIL,8,14,44,22,Gerardo Laugherane,Poor
211,Editha,Abercrombie,25,eabercrombie5u@woothemes.com,INDONESIA,73,34,7,38,Editha Abercrombie,Poor
212,Jerrie,Queyeiro,19,jqueyeiro5v@aol.com,INDONESIA,23,70,19,37,Jerrie Queyeiro,Poor
213,Toiboid,Menary,20,tmenary5w@paginegialle.it,RUSSIA,50,91,69,70,Toiboid Menary,Good
214,Therese,Aloshechkin,19,taloshechkin5x@myspace.com,UKRAINE,6,92,61,53,Therese Aloshechkin,Average
215,Sanson,Bilbrooke,22,sbilbrooke5y@icq.com,CHINA,73,33,52,52,Sanson Bilbrooke,Average
216,Isobel,Shadrack,20,ishadrack5z@google.co.uk,BRAZIL,72,15,21,36,Isobel Shadrack,Poor
217,Cassandry,Lauridsen,19,clauridsen60@i2i.jp,INDONESIA,17,12,66,31,Cassandry Lauridsen,Poor
218,Ed,Doree,24,edoree61@theatlantic.com,POLAND,29,23,20,24,Ed Doree,Poor
219,Farrah,Fryman,23,ffryman62@utexas.edu,CANADA,47,73,82,67,Farrah Fryman,Good
220,Mattie,Kitney,24,mkitney63@examiner.com,CHINA,51,84,64,66,Mattie Kitney,Good
221,Joete,Ousbie,19,jousbie64@hubpages.com,POLAND,41,32,29,34,Joete Ousbie,Poor
222,Tobe,Baxstair,20,tbaxstair65@cnbc.com,CHINA,98,61,46,68,Tobe Baxstair,Good
223,Winthrop,Simukov,20,wsimukov66@soundcloud.com,RUSSIA,47,38,100,61,Winthrop Simukov,Good
224,Dulsea,Blay,22,dblay67@noaa.gov,POLAND,17,6,6,9,Dulsea Blay,Poor
225,Nickie,Smyth,22,nsmyth68@mapy.cz,CHINA,93,56,78,75,Nickie Smyth,Good
226,Broddy,Udell,21,budell69@google.ru,CHINA,47,48,93,62,Broddy Udell,Good
227,Kelsy,Davidavidovics,18,kdavidavidovics6a@google.pl,INDONESIA,65,52,72,63,Kelsy Davidavidovics,Good
228,Harris,Foggarty,22,hfoggarty6b@infoseek.co.jp,RUSSIA,65,10,10,28,Harris Foggarty,Poor
229,Benedikt,Hateley,21,bhateley6c@guardian.co.uk,SWEDEN,56,38,94,62,Benedikt Hateley,Good
230,Antons,McCleod,19,amccleod6d@utexas.edu,CHINA,80,32,85,65,Antons McCleod,Good
231,Bernetta,Sexti,20,bsexti6e@domainmarket.com,FRANCE,20,31,66,39,Bernetta Sexti,Poor
232,Gaylord,Crumley,25,gcrumley6f@upenn.edu,PERU,99,88,84,90,Gaylord Crumley,Excellent
233,Vassily,Levee,24,vlevee6g@weebly.com,SWEDEN,25,24,9,19,Vassily Levee,Poor
234,Kristina,Twells,21,ktwells6h@google.com.hk,ARGENTINA,60,74,60,64,Kristina Twells,Good
235,Heda,Johnsee,19,hjohnsee6i@state.gov,CHINA,54,48,22,41,Heda Johnsee,Average
236,Mikel,Tearny,24,mtearny6j@auda.org.au,RUSSIA,65,33,31,43,Mikel Tearny,Average
237,Hermia,Scimoni,18,hscimoni6k@imageshack.us,CHINA,51,13,86,50,Hermia Scimoni,Average
238,Auberon,Rogeron,20,arogeron6l@apple.com,CHINA,24,88,61,57,Auberon Rogeron,Average
239,Wolf,Maffulli,21,wmaffulli6m@51.la,PORTUGAL,32,92,10,44,Wolf Maffulli,Average
240,Kendricks,Aldwich,24,kaldwich6n@moonfruit.com,CZECH REPUBLIC,57,13,37,35,Kendricks Aldwich,Poor
241,Vicki,Davidovics,19,vdavidovics6o@amazon.com,CHINA,32,57,92,60,Vicki Davidovics,Good
242,Chilton,Caff,20,ccaff6p@parallels.com,BRAZIL,9,1,47,19,Chilton Caff,Poor
243,Addy,Bolam,20,abolam6q@cyberchimps.com,CHINA,8,20,53,27,Addy Bolam,Poor
244,Allegra,Doeg,23,adoeg6r@cyberchimps.com,LUXEMBOURG,42,83,8,44,Allegra Doeg,Average
245,Sigismund,Showte,25,sshowte6s@about.me,SWEDEN,10,78,68,52,Sigismund Showte,Average
246,Lancelot,Northedge,18,lnorthedge6t@nymag.com,CHINA,73,88,61,74,Lancelot Northedge,Good
247,Angelia,Probin,21,aprobin6u@virginia.edu,MAURITIUS,34,10,91,45,Angelia Probin,Average
248,Lamont,Pettegre,18,lpettegre6v@comcast.net,PHILIPPINES,59,86,98,81,Lamont Pettegre,Excellent
249,Gerrie,McInteer,21,gmcinteer6w@springer.com,BRAZIL,68,32,5,35,Gerrie McInteer,Poor
