student_id,first_name,last_name,age,email,country,grade_math,grade_science,grade_english,Final_score,Total_Marks,Average_Marks
33,Allys,O'Kieran,19,aokieranw@cargocollective.com,Indonesia,87,4,74,55,165,55.0
34,Kele,Vashchenko,19,kvashchenkox@salon.com,Lithuania,12,55,88,51,155,51.666666666666664
35,Eilis,Kissock,23,ekissocky@wsj.com,Russia,0,14,69,27,83,27.666666666666668
36,Phyllys,Prahl,23,pprahlz@mapy.cz,China,31,55,9,31,95,31.666666666666668
37,Rosella,Dowall,22,rdowall10@hexun.com,Philippines,81,33,31,48,145,48.333333333333336
38,Karim,McDougald,25,kmcdougald11@tinyurl.com,Philippines,24,18,16,19,58,19.333333333333332
39,Teriann,Gaynor,19,tgaynor12@topsy.com,France,41,1,12,18,54,18.0
40,Andonis,Pert,21,apert13@reference.com,Poland,97,66,64,75,227,75.66666666666667
41,Garik,Caldecot,23,gcaldecot14@gmpg.org,Indonesia,73,1,96,56,170,56.666666666666664
42,Andria,Bollum,25,abollum15@deliciousdays.com,South Korea,62,41,74,59,177,59.0
43,Rodolphe,Bordes,24,rbordes16@who.int,Kenya,87,92,50,76,229,76.33333333333333
44,Der,Blackborough,19,dblackborough17@yelp.com,Paraguay,7,70,79,52,156,52.0
45,Tess,Laidel,25,tlaidel18@slate.com,Curacao,19,47,90,52,156,52.0
46,Skylar,Lewry,20,slewry19@trellian.com,Portugal,53,57,21,43,131,43.666666666666664
47,Dorice,Astle,25,dastle1a@weebly.com,Mexico,16,67,12,31,95,31.666666666666668
48,Dorolice,Donohue,24,ddonohue1b@istockphoto.com,Argentina,69,10,60,46,139,46.333333333333336
49,Starlin,Klimp,18,sklimp1c@fotki.com,Brazil,89,5,99,64,193,64.33333333333333
50,Prentiss,Blythe,25,pblythe1d@wikia.com,Argentina,90,16,44,50,150,50.0
51,Zacharias,Colquite,20,zcolquite1e@smh.com.au,China,77,78,13,56,168,56.0
52,Carmencita,Whithalgh,23,cwhithalgh1f@skype.com,Palestinian Territory,54,28,41,41,123,41.0
53,Ernaline,Le Blond,19,eleblond1g@bloglovin.com,Japan,59,70,82,70,211,70.33333333333333
54,Tanya,Braisby,24,tbraisby1h@gnu.org,Russia,86,10,35,43,131,43.666666666666664
55,Leisha,Doward,24,ldoward1i@upenn.edu,Syria,71,22,59,50,152,50.666666666666664
56,Jory,Harsnipe,22,jharsnipe1j@fema.gov,China,45,47,40,44,132,44.0
57,Shandee,Scaice,20,sscaice1k@sun.com,Czech Republic,61,31,52,48,144,48.0
58,Noel,Crackett,19,ncrackett1l@nyu.edu,Croatia,76,43,36,51,155,51.666666666666664
59,Corine,Cattlemull,24,ccattlemull1m@earthlink.net,Philippines,98,43,93,78,234,78.0
60,Elvera,Kilcullen,19,ekilcullen1n@csmonitor.com,Germany,21,65,91,59,177,59.0
61,Elisha,Cudby,19,ecudby1o@clickbank.net,France,82,34,18,44,134,44.666666666666664
62,Fawnia,Pleuman,25,fpleuman1p@fotki.com,South Africa,61,26,33,40,120,40.0
63,Ulberto,Element,20,uelement1q@mail.ru,Kenya,82,35,16,44,133,44.333333333333336
64,Tildi,Scobbie,21,tscobbie1r@wix.com,Indonesia,39,94,83,72,216,72.0
65,Claudina,Stallard,24,cstallard1s@drupal.org,Taiwan,6,44,11,20,61,20.333333333333332
66,Ethelyn,Farens,24,efarens1t@wordpress.org,Czech Republic,62,90,39,63,191,63.666666666666664
67,Thalia,Abercromby,24,tabercromby1u@example.com,Philippines,71,78,16,55,165,55.0
68,Arabela,Risely,23,arisely1v@marketwatch.com,China,91,64,63,72,218,72.66666666666667
69,Matteo,Lattey,21,mlattey1w@spiegel.de,Afghanistan,100,27,54,60,181,60.333333333333336
70,Carmella,Ballsdon,18,cballsdon1x@google.ru,Russia,34,57,63,51,154,51.333333333333336
71,Killie,Lorenc,24,klorenc1y@123-reg.co.uk,Syria,21,16,63,33,100,33.333333333333336
72,Cilka,Telfer,22,ctelfer1z@google.com,Japan,31,65,26,40,122,40.666666666666664
73,Delbert,Vala,25,dvala20@eepurl.com,Indonesia,68,33,60,53,161,53.666666666666664
74,Concordia,Boyton,23,cboyton21@is.gd,Indonesia,9,91,29,43,129,43.0
75,Enid,Pretley,23,epretley22@pagesperso-orange.fr,Philippines,79,2,82,54,163,54.333333333333336
76,Davina,Waywell,19,dwaywell23@tripod.com,Lithuania,10,61,86,52,157,52.333333333333336
77,Gunter,Ruste,22,gruste24@prlog.org,Russia,83,81,20,61,184,61.333333333333336
78,Ric,De Carlo,20,rdecarlo25@amazon.com,Brazil,34,20,71,41,125,41.666666666666664
79,Jenelle,Treherne,18,jtreherne26@wordpress.org,Portugal,31,48,5,28,84,28.0
80,Welch,Mucklow,19,wmucklow27@shop-pro.jp,Portugal,26,15,51,30,92,30.666666666666668
81,Anatol,Wheatman,25,awheatman28@spotify.com,Russia,81,72,51,68,204,68.0
82,Ritchie,O'Carmody,25,rocarmody29@pinterest.com,Azerbaijan,13,27,62,34,102,34.0
83,Davide,Pettyfer,19,dpettyfer2a@vinaora.com,China,44,78,55,59,177,59.0
84,Sada,Anchor,24,sanchor2b@gmpg.org,China,79,18,29,42,126,42.0
85,Maure,Maybey,19,mmaybey2c@si.edu,Russia,69,96,50,71,215,71.66666666666667
86,Blinnie,O'Murtagh,20,bomurtagh2d@si.edu,Portugal,62,99,6,55,167,55.666666666666664
87,Evie,Heenan,22,eheenan2e@nsw.gov.au,Poland,95,46,73,71,214,71.33333333333333
88,Bevin,Capnerhurst,19,bcapnerhurst2f@yale.edu,United States,37,47,76,53,160,53.333333333333336
89,Esme,Allsep,21,eallsep2g@nyu.edu,Czech Republic,74,90,5,56,169,56.333333333333336
90,Ugo,Renbold,20,urenbold2h@nbcnews.com,Azerbaijan,22,25,68,38,115,38.333333333333336
91,Smith,Sanpere,25,ssanpere2i@edublogs.org,Philippines,89,88,12,63,189,63.0
92,Clareta,Furze,19,cfurze2j@microsoft.com,Nigeria,37,18,43,32,98,32.666666666666664
93,Teador,Chsteney,20,tchsteney2k@mayoclinic.com,Panama,3,51,4,19,58,19.333333333333332
94,Harriette,McNicol,20,hmcnicol2l@histats.com,Sri Lanka,91,88,41,73,220,73.33333333333333
95,Dosi,Ainley,20,dainley2m@gnu.org,Indonesia,13,10,57,26,80,26.666666666666668
96,Krystle,Macieja,20,kmacieja2n@addthis.com,China,38,81,84,67,203,67.66666666666667
97,Laurie,Usherwood,21,lusherwood2o@ebay.com,Russia,94,49,31,58,174,58.0
98,Nettie,Vicioso,19,nvicioso2p@theguardian.com,Ukraine,36,81,53,56,170,56.666666666666664
99,Phil,Vanichkov,24,pvanichkov2q@dropbox.com,Indonesia,67,55,13,45,135,45.0
100,Lorrayne,Vahl,22,lvahl2r@nymag.com,Republic of the Congo,84,28,57,56,169,56.333333333333336
101,Allison,Saldler,24,asaldler2s@ucla.edu,Portugal,44,90,68,67,202,67.33333333333333
102,Eolande,Skune,21,eskune2t@cbslocal.com,Greece,60,34,71,55,165,55.0
103,Mozelle,GiacobbiniJacob,21,mgiacobbinijacob2u@phoca.cz,Poland,39,18,3,20,60,20.0
104,Perkin,Corris,25,pcorris2v@archive.org,Thailand,22,68,70,53,160,53.333333333333336
105,Willabella,Mathews,22,wmathews2w@blogspot.com,Philippines,12,31,4,15,47,15.666666666666666
106,Esmaria,Anning,19,eanning2x@hatena.ne.jp,Portugal,45,85,47,59,177,59.0
107,Irvin,Dibsdale,23,idibsdale2y@netvibes.com,Philippines,24,38,31,31,93,31.0
108,Boniface,Storror,19,bstorror2z@xing.com,Brazil,37,40,50,42,127,42.333333333333336
109,Veda,Street,25,vstreet30@un.org,China,92,45,61,66,198,66.0
110,Harley,Rigts,24,hrigts31@soup.io,Poland,55,43,72,56,170,56.666666666666664
111,Bobbie,Perryn,23,bperryn32@tiny.cc,Indonesia,47,33,7,29,87,29.0
112,Estel,McDuffie,22,emcduffie33@kickstarter.com,Portugal,16,26,42,28,84,28.0
113,Candis,Eisold,22,ceisold34@rediff.com,Russia,48,79,11,46,138,46.0
114,Donn,Armfirld,20,darmfirld35@linkedin.com,Sweden,72,76,41,63,189,63.0
115,Donny,Jansens,19,djansens36@who.int,Philippines,59,70,80,69,209,69.66666666666667
116,Midge,Okenden,24,mokenden37@slashdot.org,Kazakhstan,4,73,19,32,96,32.0
117,Lydia,Mariotte,21,lmariotte38@amazon.de,Indonesia,57,74,92,74,223,74.33333333333333
118,Garald,Baggiani,22,gbaggiani39@ustream.tv,Iran,20,16,1,12,37,12.333333333333334
119,Iseabal,Dumphreys,24,idumphreys3a@sbwire.com,China,73,42,28,47,143,47.666666666666664
120,Binni,Jannasch,21,bjannasch3b@google.com.hk,Sweden,26,40,19,28,85,28.333333333333332
121,Archibold,Scowcraft,19,ascowcraft3c@yolasite.com,Philippines,17,95,71,61,183,61.0
122,Catharina,Ravel,20,cravel3d@soup.io,Ukraine,79,67,63,69,209,69.66666666666667
123,Averill,Rainton,18,arainton3e@go.com,Brazil,65,90,72,75,227,75.66666666666667
124,Dawn,Maddyson,21,dmaddyson3f@harvard.edu,Mali,35,70,0,35,105,35.0
125,Suzie,Hullyer,20,shullyer3g@g.co,Czech Republic,22,4,60,28,86,28.666666666666668
126,Rey,Gammon,20,rgammon3h@discovery.com,Russia,94,2,78,58,174,58.0
127,Kristian,Leinweber,20,kleinweber3i@ifeng.com,Poland,35,69,12,38,116,38.666666666666664
128,Sharity,Neachell,25,sneachell3j@nps.gov,Vietnam,16,31,25,24,72,24.0
129,Lexis,Pittson,19,lpittson3k@deviantart.com,Peru,9,7,48,21,64,21.333333333333332
130,Friedrick,Pember,24,fpember3l@uol.com.br,Latvia,55,52,87,64,194,64.66666666666667
131,Jourdain,Whitmell,18,jwhitmell3m@java.com,Portugal,63,14,99,58,176,58.666666666666664
132,Drusie,Baughn,21,dbaughn3n@diigo.com,Japan,8,60,42,36,110,36.666666666666664
133,Dukey,Greenrod,20,dgreenrod3o@printfriendly.com,China,64,28,97,63,189,63.0
134,Risa,Stent,23,rstent3p@fc2.com,France,42,92,11,48,145,48.333333333333336
135,Kessia,Larimer,25,klarimer3q@histats.com,Portugal,86,44,20,50,150,50.0
136,Janis,Hindrich,18,jhindrich3r@domainmarket.com,Finland,37,86,53,58,176,58.666666666666664
137,Cherish,Speeding,21,cspeeding3s@bloomberg.com,Brazil,61,3,35,33,99,33.0
138,Bertie,Fishe,25,bfishe3t@devhub.com,Colombia,67,94,70,77,231,77.0
139,Lorenza,Herculson,19,lherculson3u@shareasale.com,South Africa,60,67,79,68,206,68.66666666666667
140,Garland,Dearell,25,gdearell3v@live.com,Portugal,17,78,69,54,164,54.666666666666664
141,Stavro,Waltering,24,swaltering3w@so-net.ne.jp,United States,15,78,70,54,163,54.333333333333336
142,Stephie,Simm,19,ssimm3x@51.la,Sweden,17,49,27,31,93,31.0
143,Silva,O'Kenny,25,sokenny3y@wp.com,Indonesia,3,73,20,32,96,32.0
144,Sherlocke,Fairfull,20,sfairfull3z@clickbank.net,Canada,18,35,100,51,153,51.0
145,Norene,Gosnall,25,ngosnall40@trellian.com,Luxembourg,7,30,94,43,131,43.666666666666664
146,Bendite,Dimnage,20,bdimnage41@imdb.com,Russia,65,28,36,43,129,43.0
147,Mike,Arson,20,marson42@nhs.uk,Brazil,40,2,91,44,133,44.333333333333336
148,Alida,Ducker,19,aducker43@nydailynews.com,Russia,49,41,36,42,126,42.0
149,Claudie,Rushbrooke,24,crushbrooke44@msu.edu,China,50,5,99,51,154,51.333333333333336
150,Arabel,Meekings,23,ameekings45@soup.io,Ukraine,19,84,55,52,158,52.666666666666664
151,Michelle,Tallant,20,mtallant46@cpanel.net,Philippines,99,96,77,90,272,90.66666666666667
152,Shep,Grealy,21,sgrealy47@deliciousdays.com,China,94,26,68,62,188,62.666666666666664
153,Harriott,MacGillivrie,24,hmacgillivrie48@hao123.com,Russia,66,1,80,49,147,49.0
154,Winonah,Heal,20,wheal49@chron.com,Mexico,61,14,98,57,173,57.666666666666664
155,Gray,Woolveridge,25,gwoolveridge4a@newsvine.com,Philippines,78,94,34,68,206,68.66666666666667
156,Jobie,de Guerre,22,jdeguerre4b@github.com,China,26,1,9,12,36,12.0
157,Augustine,Roberds,22,aroberds4c@archive.org,Poland,20,95,77,64,192,64.0
158,Daile,Stork,21,dstork4d@goo.gl,Peru,94,32,85,70,211,70.33333333333333
159,Guillermo,Laurance,21,glaurance4e@ovh.net,Albania,13,5,48,22,66,22.0
160,Ceciley,Egle,19,cegle4f@slate.com,Peru,5,88,47,46,140,46.666666666666664
161,Anselm,Pakeman,18,apakeman4g@mail.ru,China,6,40,56,34,102,34.0
162,Kennett,Shovell,23,kshovell4h@phpbb.com,Indonesia,31,54,83,56,168,56.0
163,Kermie,Mabon,24,kmabon4i@unblog.fr,China,50,43,93,62,186,62.0
164,Sebastien,Gaylord,23,sgaylord4j@squarespace.com,Reunion,78,41,10,43,129,43.0
165,Laird,Lumby,25,llumby4k@sfgate.com,Guatemala,91,33,83,69,207,69.0
166,Giustina,Tagg,23,gtagg4l@sina.com.cn,Portugal,34,13,38,28,85,28.333333333333332
167,Horatius,Oscroft,25,hoscroft4m@ycombinator.com,China,88,89,14,63,191,63.666666666666664
168,Belvia,Baraja,25,bbaraja4n@unblog.fr,Indonesia,54,56,0,36,110,36.666666666666664
169,Poul,Farraway,21,pfarraway4o@sciencedaily.com,Czech Republic,83,41,76,66,200,66.66666666666667
170,Montgomery,Whisby,25,mwhisby4p@ifeng.com,Brazil,73,41,65,59,179,59.666666666666664
171,Woody,Croker,24,wcroker4q@rakuten.co.jp,Argentina,19,2,90,37,111,37.0
172,Cassie,Dawber,23,cdawber4r@timesonline.co.uk,Poland,8,43,47,32,98,32.666666666666664
173,Claresta,Casterton,24,ccasterton4s@sciencedirect.com,Panama,30,48,40,39,118,39.333333333333336
174,Velvet,Barlass,19,vbarlass4t@marriott.com,China,24,25,20,23,69,23.0
175,Moyra,Foulkes,24,mfoulkes4u@wunderground.com,Iraq,55,45,14,38,114,38.0
176,Roxi,Milham,23,rmilham4v@ox.ac.uk,Portugal,68,28,20,38,116,38.666666666666664
177,Nady,Oats,18,noats4w@wired.com,Poland,15,30,81,42,126,42.0
178,Carline,Timbrell,25,ctimbrell4x@parallels.com,Indonesia,77,69,96,80,242,80.66666666666667
179,Burke,Aire,21,baire4y@businessweek.com,Brazil,31,31,14,25,76,25.333333333333332
180,Fanchon,Leonarde,24,fleonarde4z@123-reg.co.uk,China,56,75,24,51,155,51.666666666666664
181,Spense,Offer,25,soffer50@army.mil,Indonesia,89,35,33,52,157,52.333333333333336
182,Vaclav,Danat,19,vdanat51@senate.gov,Sri Lanka,44,64,79,62,187,62.333333333333336
183,Terence,Rooson,20,trooson52@businessinsider.com,Vietnam,86,91,99,92,276,92.0
184,Gayel,Bilney,21,gbilney53@foxnews.com,United States,6,35,16,19,57,19.0
185,Amandie,Pittson,19,apittson54@zdnet.com,Peru,41,87,14,47,142,47.333333333333336
186,Sher,Copestake,20,scopestake55@live.com,Nigeria,30,22,7,19,59,19.666666666666668
187,Loreen,Flux,20,lflux56@marketwatch.com,China,82,75,72,76,229,76.33333333333333
188,Harwilll,MattiCCI,19,hmatticci57@parallels.com,Japan,98,87,26,70,211,70.33333333333333
189,Berthe,Rasell,22,brasell58@tinyurl.com,China,65,44,66,58,175,58.333333333333336
190,Lauritz,Proby,21,lproby59@google.ru,Togo,5,51,24,26,80,26.666666666666668
191,Isidro,Sprigg,19,isprigg5a@tripod.com,France,39,51,41,43,131,43.666666666666664
192,Normie,Petegree,21,npetegree5b@engadget.com,Brazil,82,37,14,44,133,44.333333333333336
193,Poppy,Cornell,23,pcornell5c@foxnews.com,Israel,23,54,75,50,152,50.666666666666664
194,Mendel,Stolz,24,mstolz5d@smh.com.au,South Africa,37,39,36,37,112,37.333333333333336
195,Abbe,Craig,21,acraig5e@goo.gl,Croatia,27,52,96,58,175,58.333333333333336
196,Foster,Dunrige,18,fdunrige5f@telegraph.co.uk,Belarus,35,28,21,28,84,28.0
197,Fredericka,Quarles,19,fquarles5g@dmoz.org,Poland,2,88,70,53,160,53.333333333333336
198,Tanya,Guyer,18,tguyer5h@oakley.com,Poland,45,24,45,38,114,38.0
199,Amata,Funnell,21,afunnell5i@posterous.com,Indonesia,82,2,80,54,164,54.666666666666664
200,Hillery,Nowlan,23,hnowlan5j@altervista.org,Argentina,22,83,60,55,165,55.0
201,Dannel,Sallery,18,dsallery5k@wordpress.org,Indonesia,17,2,21,13,40,13.333333333333334
202,Tarrah,Jerzycowski,23,tjerzycowski5l@nydailynews.com,Chad,66,26,61,51,153,51.0
203,Quinn,Mellon,25,qmellon5m@issuu.com,China,56,4,8,22,68,22.666666666666668
204,Conny,Ducker,19,cducker5n@state.tx.us,Ireland,95,21,29,48,145,48.333333333333336
205,Yovonnda,Gillebride,18,ygillebride5o@microsoft.com,China,62,51,97,70,210,70.0
206,Ina,Liles,23,ililes5p@1und1.de,Swaziland,17,21,75,37,113,37.666666666666664
207,Brandon,Arden,25,barden5q@berkeley.edu,Iran,24,94,96,71,214,71.33333333333333
208,Guthry,Twinterman,25,gtwinterman5r@gravatar.com,Niger,74,6,44,41,124,41.333333333333336
209,Alaric,Wasling,25,awasling5s@diigo.com,Portugal,34,31,17,27,82,27.333333333333332
210,Gerardo,Laugherane,23,glaugherane5t@moonfruit.com,Brazil,8,14,44,22,66,22.0
211,Editha,Abercrombie,25,eabercrombie5u@woothemes.com,Indonesia,73,34,7,38,114,38.0
212,Jerrie,Queyeiro,19,jqueyeiro5v@aol.com,Indonesia,23,70,19,37,112,37.333333333333336
213,Toiboid,Menary,20,tmenary5w@paginegialle.it,Russia,50,91,69,70,210,70.0
214,Therese,Aloshechkin,19,taloshechkin5x@myspace.com,Ukraine,6,92,61,53,159,53.0
215,Sanson,Bilbrooke,22,sbilbrooke5y@icq.com,China,73,33,52,52,158,52.666666666666664
216,Isobel,Shadrack,20,ishadrack5z@google.co.uk,Brazil,72,15,21,36,108,36.0
217,Cassandry,Lauridsen,19,clauridsen60@i2i.jp,Indonesia,17,12,66,31,95,31.666666666666668
218,Ed,Doree,24,edoree61@theatlantic.com,Poland,29,23,20,24,72,24.0
219,Farrah,Fryman,23,ffryman62@utexas.edu,Canada,47,73,82,67,202,67.33333333333333
220,Mattie,Kitney,24,mkitney63@examiner.com,China,51,84,64,66,199,66.33333333333333
221,Joete,Ousbie,19,jousbie64@hubpages.com,Poland,41,32,29,34,102,34.0
222,Tobe,Baxstair,20,tbaxstair65@cnbc.com,China,98,61,46,68,205,68.33333333333333
223,Winthrop,Simukov,20,wsimukov66@soundcloud.com,Russia,47,38,100,61,185,61.666666666666664
224,Dulsea,Blay,22,dblay67@noaa.gov,Poland,17,6,6,9,29,9.666666666666666
225,Nickie,Smyth,22,nsmyth68@mapy.cz,China,93,56,78,75,227,75.66666666666667
226,Broddy,Udell,21,budell69@google.ru,China,47,48,93,62,188,62.666666666666664
227,Kelsy,Davidavidovics,18,kdavidavidovics6a@google.pl,Indonesia,65,52,72,63,189,63.0
228,Harris,Foggarty,22,hfoggarty6b@infoseek.co.jp,Russia,65,10,10,28,85,28.333333333333332
229,Benedikt,Hateley,21,bhateley6c@guardian.co.uk,Sweden,56,38,94,62,188,62.666666666666664
230,Antons,McCleod,19,amccleod6d@utexas.edu,China,80,32,85,65,197,65.66666666666667
231,Bernetta,Sexti,20,bsexti6e@domainmarket.com,France,20,31,66,39,117,39.0
232,Gaylord,Crumley,25,gcrumley6f@upenn.edu,Peru,99,88,84,90,271,90.33333333333333
233,Vassily,Levee,24,vlevee6g@weebly.com,Sweden,25,24,9,19,58,19.333333333333332
234,Kristina,Twells,21,ktwells6h@google.com.hk,Argentina,60,74,60,64,194,64.66666666666667
235,Heda,Johnsee,19,hjohnsee6i@state.gov,China,54,48,22,41,124,41.333333333333336
236,Mikel,Tearny,24,mtearny6j@auda.org.au,Russia,65,33,31,43,129,43.0
237,Hermia,Scimoni,18,hscimoni6k@imageshack.us,China,51,13,86,50,150,50.0
238,Auberon,Rogeron,20,arogeron6l@apple.com,China,24,88,61,57,173,57.666666666666664
239,Wolf,Maffulli,21,wmaffulli6m@51.la,Portugal,32,92,10,44,134,44.666666666666664
240,Kendricks,Aldwich,24,kaldwich6n@moonfruit.com,Czech Republic,57,13,37,35,107,35.666666666666664
241,Vicki,Davidovics,19,vdavidovics6o@amazon.com,China,32,57,92,60,181,60.333333333333336
242,Chilton,Caff,20,ccaff6p@parallels.com,Brazil,9,1,47,19,57,19.0
243,Addy,Bolam,20,abolam6q@cyberchimps.com,China,8,20,53,27,81,27.0
244,Allegra,Doeg,23,adoeg6r@cyberchimps.com,Luxembourg,42,83,8,44,133,44.333333333333336
245,Sigismund,Showte,25,sshowte6s@about.me,Sweden,10,78,68,52,156,52.0
246,Lancelot,Northedge,18,lnorthedge6t@nymag.com,China,73,88,61,74,222,74.0
247,Angelia,Probin,21,aprobin6u@virginia.edu,Mauritius,34,10,91,45,135,45.0
248,Lamont,Pettegre,18,lpettegre6v@comcast.net,Philippines,59,86,98,81,243,81.0
249,Gerrie,McInteer,21,gmcinteer6w@springer.com,Brazil,68,32,5,35,105,35.0
250,Carmita,Ewestace,22,cewestace6x@etsy.com,South Korea,30,60,68,52,158,52.666666666666664
251,Arv,Sallier,24,asallier6y@cargocollective.com,Philippines,8,97,30,45,135,45.0
252,Gwenneth,Poytress,24,gpoytress6z@sourceforge.net,Czech Republic,90,54,99,81,243,81.0
253,Tammie,Ferroni,22,tferroni70@miibeian.gov.cn,Sweden,60,23,29,37,112,37.333333333333336
254,Blake,Minci,22,bminci71@senate.gov,China,64,95,71,76,230,76.66666666666667
255,Oralia,Hankinson,19,ohankinson72@example.com,Indonesia,91,24,62,59,177,59.0
256,Caryl,Cannon,19,ccannon73@skyrock.com,Portugal,2,34,71,35,107,35.666666666666664
257,Freddy,Pilfold,20,fpilfold74@auda.org.au,Cuba,56,69,71,65,196,65.33333333333333
258,Brock,Farenden,19,bfarenden75@istockphoto.com,China,83,70,95,82,248,82.66666666666667
259,Yardley,Highwood,23,yhighwood76@statcounter.com,Finland,3,79,46,42,128,42.666666666666664
260,Phylis,Cranstone,20,pcranstone77@cdc.gov,Russia,81,41,25,49,147,49.0
261,Merola,Jeary,18,mjeary78@google.com,Indonesia,94,13,5,37,112,37.333333333333336
262,Jude,Van der Hoeven,23,jvanderhoeven79@google.co.jp,Indonesia,78,27,88,64,193,64.33333333333333
263,Hurley,Frantsev,22,hfrantsev7a@networkadvertising.org,Philippines,31,70,53,51,154,51.333333333333336
264,Marris,Driver,23,mdriver7b@free.fr,Brazil,1,68,62,43,131,43.666666666666664
265,Cari,Gladman,21,cgladman7c@bigcartel.com,Portugal,77,94,61,77,232,77.33333333333333
266,Amalee,Sancraft,20,asancraft7d@last.fm,Azerbaijan,44,49,85,59,178,59.333333333333336
267,Aprilette,Tejero,23,atejero7e@e-recht24.de,China,17,27,1,15,45,15.0
268,Winonah,Simao,21,wsimao7f@nhs.uk,China,21,52,26,33,99,33.0
269,Justinian,Hearons,20,jhearons7g@etsy.com,China,93,23,75,63,191,63.666666666666664
270,Stacee,Standell,20,sstandell7h@xrea.com,Indonesia,16,85,84,61,185,61.666666666666664
271,Chet,Worlock,25,cworlock7i@japanpost.jp,Indonesia,18,65,62,48,145,48.333333333333336
272,Karlan,Layborn,23,klayborn7j@deviantart.com,Afghanistan,37,98,18,51,153,51.0
273,Roselle,Filipson,21,rfilipson7k@rambler.ru,Philippines,67,41,55,54,163,54.333333333333336
274,Konrad,Powderham,21,kpowderham7l@themeforest.net,Estonia,70,25,85,60,180,60.0
275,Angy,Lashbrook,20,alashbrook7m@google.fr,United States,35,69,66,56,170,56.666666666666664
276,Jerad,Peatt,22,jpeatt7n@census.gov,Philippines,82,18,51,50,151,50.333333333333336
277,Hally,Loveman,18,hloveman7o@arizona.edu,Taiwan,32,71,52,51,155,51.666666666666664
278,Mickey,Bryceson,21,mbryceson7p@unc.edu,Peru,57,21,51,43,129,43.0
279,Arthur,Don,22,adon7q@tripadvisor.com,China,38,33,87,52,158,52.666666666666664
280,Dix,Zink,18,dzink7r@japanpost.jp,Somalia,35,18,26,26,79,26.333333333333332
281,Pearline,Studdert,24,pstuddert7s@g.co,Russia,53,43,33,43,129,43.0
282,Horacio,Trayes,20,htrayes7t@zdnet.com,United States,26,34,6,22,66,22.0
283,Waneta,Ickov,20,wickov7u@fema.gov,Philippines,0,40,18,19,58,19.333333333333332
